Gene	Synonymns	Description
LOC107985797	-	MAPK-interacting and spindle-stabilizing protein-like
LOC107985798	-	histone-lysine N-methyltransferase 2C-like
LOC107985801	-	tripartite motif-containing protein 51-like
LOC107985802	-	cytochrome c oxidase subunit 7B, mitochondrial pseudogene
LOC107985803	-	uncharacterized LOC107985803
LOC107985804	-	uncharacterized LOC107985804
LOC107985805	-	sine oculis-binding protein homolog
LINC01866	-	long intergenic non-protein coding RNA 1866
LOC107985807	-	uncharacterized LOC107985807
LOC107985808	-	uncharacterized LOC107985808
LOC107985809	-	uncharacterized LOC107985809
LOC107985810	-	uncharacterized LOC107985810
LOC107985811	-	uncharacterized LOC107985811
LOC107985812	-	uncharacterized LOC107985812
LOC107985813	-	60S ribosomal protein L38-like
LOC107985814	-	uncharacterized LOC107985814
LOC107985815	-	uncharacterized LOC107985815
LINC01956	-	long intergenic non-protein coding RNA 1956
LOC107985817	-	uncharacterized LOC107985817
LINC01826	lnc-MKI67IP-3	long intergenic non-protein coding RNA 1826
LOC107985819	-	uncharacterized LOC107985819
LOC107985820	-	uncharacterized LOC107985820
LOC107985821	-	uncharacterized LOC107985821
LOC107985822	-	uncharacterized LOC107985822
LOC107985823	-	uncharacterized LOC107985823
LOC107985824	-	uncharacterized LOC107985824
LOC107985825	-	uncharacterized LOC107985825
LOC107985826	-	uncharacterized LOC107985826
LOC107985827	-	uncharacterized LOC107985827
LOC107985828	-	uncharacterized LOC107985828
LOC107985829	-	uncharacterized LOC107985829
LOC107985830	-	uncharacterized LOC107985830
LOC107985831	-	uncharacterized LOC107985831
LOC107985832	-	uncharacterized LOC107985832
LOC107985833	-	uncharacterized LOC107985833
LOC107985834	-	protein transport protein Sec61 subunit gamma-like
LOC107985835	-	uncharacterized LOC107985835
LOC107985836	-	uncharacterized LOC107985836
LOC107985838	-	uncharacterized LOC107985838
LOC107985839	-	uncharacterized LOC107985839
LOC107985840	-	uncharacterized LOC107985840
LOC107985841	-	uncharacterized LOC107985841
LOC107985842	-	uncharacterized LOC107985842
LOC107985843	-	uncharacterized LOC107985843
LINC01824	-	long intergenic non-protein coding RNA 1824
LOC107985845	-	uncharacterized LOC107985845
LOC107985846	-	cyclin-dependent kinase 2-associated protein 1 pseudogene
LOC107985847	-	uncharacterized LOC107985847
LOC107985848	-	uncharacterized LOC107985848
LOC107985849	-	uncharacterized LOC107985849
LOC107985850	-	uncharacterized LOC107985850
LOC107985851	-	uncharacterized LOC107985851
LOC107985852	-	uncharacterized LOC107985852
LOC107985853	-	uncharacterized LOC107985853
LOC107985854	-	uncharacterized LOC107985854
LOC107985855	-	uncharacterized LOC107985855
LOC107985856	-	uncharacterized LOC107985856
LOC107985857	-	uncharacterized LOC107985857
LOC107985858	-	uncharacterized LOC107985858
LOC107985859	-	uncharacterized LOC107985859
LOC107985861	-	uncharacterized LOC107985861
LOC107985862	-	uncharacterized LOC107985862
LOC107985863	-	uncharacterized LOC107985863
LOC107985864	-	uncharacterized LOC107985864
LOC107985865	-	uncharacterized LOC107985865
LOC107985866	-	uncharacterized LOC107985866
LOC107985868	-	uncharacterized LOC107985868
LOC107985869	-	uncharacterized LOC107985869
LOC107985870	-	uncharacterized LOC107985870
LOC107985871	-	uncharacterized LOC107985871
LOC107985872	-	uncharacterized LOC107985872
LOC107985873	-	uncharacterized LOC107985873
LOC107985874	-	uncharacterized LOC107985874
LOC107985875	-	uncharacterized LOC107985875
LOC107985876	-	uncharacterized LOC107985876
LOC107985877	-	uncharacterized LOC107985877
LOC107985878	-	uncharacterized LOC107985878
LINC01833	K21.1|RP11-89	long intergenic non-protein coding RNA 1833
LOC107985880	-	uncharacterized LOC107985880
LOC107985882	-	uncharacterized LOC107985882
LOC107985883	-	uncharacterized LOC107985883
LOC107985885	-	uncharacterized LOC107985885
LOC107985886	-	uncharacterized LOC107985886
LOC107985888	-	uncharacterized LOC107985888
LOC107985889	-	uncharacterized LOC107985889
LOC107985890	-	uncharacterized LOC107985890
LOC107985891	-	uncharacterized LOC107985891
LOC107985892	-	uncharacterized LOC107985892
LINC01888	-	long intergenic non-protein coding RNA 1888
LOC107985894	-	uncharacterized LOC107985894
LOC107985895	-	uncharacterized LOC107985895
LOC107985896	-	uncharacterized LOC107985896
LOC107985897	-	uncharacterized LOC107985897
LOC107985898	-	uncharacterized LOC107985898
LOC107985900	-	uncharacterized LOC107985900
LOC107985902	-	uncharacterized LOC107985902
LOC107985903	-	uncharacterized LOC107985903
LOC107985904	-	uncharacterized LOC107985904
LOC107985905	-	uncharacterized LOC107985905
LOC107985906	-	uncharacterized LOC107985906
LOC107985907	-	small nuclear ribonucleoprotein E pseudogene
LOC107985908	-	uncharacterized LOC107985908
LOC107985909	-	uncharacterized LOC107985909
LOC107985910	-	uncharacterized LOC107985910
LOC107985911	-	uncharacterized LOC107985911
LOC107985915	-	uncharacterized LOC107985915
LOC107985916	-	uncharacterized LOC107985916
LOC107985917	-	tripartite motif-containing protein 51 pseudogene
LOC107985920	-	uncharacterized LOC107985920
LOC107985921	-	uncharacterized LOC107985921
LOC107985922	-	uncharacterized LOC107985922
LOC107985923	-	uncharacterized LOC107985923
LINC01868	-	long intergenic non-protein coding RNA 1868
LINC01870	-	long intergenic non-protein coding RNA 1870
LOC107985926	-	uncharacterized LOC107985926
LOC107985927	-	uncharacterized LOC107985927
LINC01965	-	long intergenic non-protein coding RNA 1965
LOC107985929	-	uncharacterized LOC107985929
LOC107985930	-	uncharacterized LOC107985930
LOC107985931	-	anaphase-promoting complex subunit 1-like
LOC107985932	-	uncharacterized LOC107985932
LOC107985933	-	uncharacterized LOC107985933
LOC107985934	-	uncharacterized LOC107985934
LOC107985935	-	uncharacterized LOC107985935
LOC107985936	-	uncharacterized LOC107985936
LOC107985937	-	uncharacterized LOC107985937
LOC107985938	-	uncharacterized LOC107985938
LOC107985939	-	uncharacterized LOC107985939
LOC107985940	-	uncharacterized LOC107985940
LOC107985941	-	uncharacterized LOC107985941
LOC107985942	-	uncharacterized LOC107985942
LOC107985943	-	uncharacterized LOC107985943
LOC107985944	-	uncharacterized LOC107985944
LOC107985945	-	uncharacterized LOC107985945
LOC107985946	-	uncharacterized LOC107985946
LOC107985947	-	uncharacterized LOC107985947
LOC107985948	-	uncharacterized LOC107985948
LOC107985949	-	uncharacterized LOC107985949
LOC107985950	-	uncharacterized LOC107985950
LINC01850	-	long intergenic non-protein coding RNA 1850
LOC107985952	-	uncharacterized LOC107985952
LOC107985953	-	uncharacterized LOC107985953
LOC107985955	-	uncharacterized LOC107985955
LOC107985957	-	uncharacterized LOC107985957
LOC107985958	-	uncharacterized LOC107985958
LOC107985959	-	uncharacterized LOC107985959
LOC107985960	-	uncharacterized LOC107985960
LOC107985961	-	uncharacterized LOC107985961
LOC107985962	-	uncharacterized LOC107985962
LOC107985963	-	thymosin beta-4 pseudogene
LOC107985965	-	uncharacterized LOC107985965
LOC107985966	-	uncharacterized LOC107985966
LOC107985967	-	uncharacterized LOC107985967
LOC107985968	-	uncharacterized LOC107985968
LOC107985969	-	uncharacterized LOC107985969
LINC01825	-	long intergenic non-protein coding RNA 1825
LOC107985972	-	uncharacterized LOC107985972
LOC107985976	-	uncharacterized LOC107985976
LOC107985977	-	uncharacterized LOC107985977
LOC107985978	-	uncharacterized LOC107985978
LOC107985979	-	uncharacterized LOC107985979
LOC107985980	-	uncharacterized LOC107985980
LOC107985981	-	uncharacterized LOC107985981
LOC107985982	-	cytochrome c oxidase subunit NDUFA4 pseudogene
LOC107985983	-	uncharacterized LOC107985983
LOC107985984	-	uncharacterized LOC107985984
LOC107985985	-	uncharacterized LOC107985985
LOC107985986	-	uncharacterized LOC107985986
LOC107985987	-	uncharacterized LOC107985987
LOC107985988	-	uncharacterized LOC107985988
LOC107985989	-	uncharacterized LOC107985989
LOC107985990	-	uncharacterized LOC107985990
LOC107985991	-	uncharacterized LOC107985991
LOC107985992	-	uncharacterized LOC107985992
LOC107985993	-	uncharacterized LOC107985993
LOC107985994	-	uncharacterized LOC107985994
LOC107985995	-	uncharacterized LOC107985995
LOC107985996	-	uncharacterized LOC107985996
LOC107985997	-	uncharacterized LOC107985997
LOC107985998	-	uncharacterized LOC107985998
LOC107985999	-	uncharacterized LOC107985999
LOC107986000	-	uncharacterized LOC107986000
LOC107986001	-	uncharacterized LOC107986001
LOC107986002	-	uncharacterized LOC107986002
LOC107986003	-	uncharacterized LOC107986003
LOC107986004	-	uncharacterized LOC107986004
LOC107986006	-	uncharacterized LOC107986006
LOC107986007	-	uncharacterized LOC107986007
LOC107986008	-	uncharacterized LOC107986008
LOC107986009	-	uncharacterized LOC107986009
LOC107986010	-	uncharacterized LOC107986010
LOC107986011	-	uncharacterized LOC107986011
LOC107986012	-	uncharacterized LOC107986012
LOC107986013	-	uncharacterized LOC107986013
PPIAP71	-	peptidylprolyl isomerase A pseudogene 71
LOC107986015	-	uncharacterized LOC107986015
LOC107986016	-	uncharacterized LOC107986016
LOC107986017	-	uncharacterized LOC107986017
LOC107986018	-	uncharacterized LOC107986018
LOC107986019	-	uncharacterized LOC107986019
LOC107986020	-	uncharacterized LOC107986020
LOC107986021	-	uncharacterized LOC107986021
LOC107986022	-	uncharacterized LOC107986022
LOC107986023	-	uncharacterized LOC107986023
LOC107986024	-	uncharacterized LOC107986024
LOC107986025	-	uncharacterized LOC107986025
LOC107986027	-	uncharacterized LOC107986027
LOC107986028	-	uncharacterized LOC107986028
LOC107986029	-	uncharacterized LOC107986029
LOC107986031	-	uncharacterized LOC107986031
LOC107986032	-	chromobox protein homolog 3 pseudogene
LOC107986033	-	U2 snRNP-associated SURP motif-containing protein pseudogene
LOC107986034	-	uncharacterized protein KIAA1143 pseudogene
LOC107986035	-	basic proline-rich protein-like
LOC107986036	-	transcription elongation factor A protein-like 8
LOC107986039	-	cytochrome c, somatic pseudogene
LOC107986040	-	uncharacterized LOC107986040
LINC01967	-	long intergenic non-protein coding RNA 1967
LOC107986042	-	uncharacterized LOC107986042
LOC107986043	-	uncharacterized LOC107986043
LOC107986044	-	uncharacterized LOC107986044
LOC107986045	-	uncharacterized LOC107986045
LINC01998	-	long intergenic non-protein coding RNA 1998
LOC107986047	-	uncharacterized LOC107986047
LOC107986048	-	uncharacterized LOC107986048
LOC107986049	-	uncharacterized LOC107986049
LOC107986050	-	uncharacterized LOC107986050
LOC107986051	-	uncharacterized LOC107986051
LOC107986052	-	uncharacterized LOC107986052
LOC107986053	-	uncharacterized LOC107986053
LOC107986054	-	uncharacterized LOC107986054
LOC107986055	-	uncharacterized LOC107986055
LOC107986056	-	uncharacterized LOC107986056
LOC107986057	-	uncharacterized LOC107986057
LOC107986058	-	uncharacterized LOC107986058
LOC107986059	-	uncharacterized LOC107986059
LOC107986061	-	uncharacterized LOC107986061
LOC107986063	-	uncharacterized LOC107986063
LOC107986064	-	uncharacterized LOC107986064
LOC107986065	-	uncharacterized LOC107986065
LOC107986066	-	uncharacterized LOC107986066
LOC107986067	-	uncharacterized LOC107986067
LOC107986068	-	uncharacterized LOC107986068
LOC107986069	-	uncharacterized LOC107986069
LOC107986070	-	uncharacterized LOC107986070
LOC107986071	-	uncharacterized LOC107986071
LOC107986072	-	uncharacterized LOC107986072
LOC107986073	-	uncharacterized LOC107986073
LOC107986075	-	uncharacterized LOC107986075
LOC107986076	-	rRNA-processing protein FCF1 homolog pseudogene
LOC107986077	-	uncharacterized LOC107986077
LOC107986079	-	uncharacterized LOC107986079
LOC107986080	-	uncharacterized LOC107986080
LOC107986081	-	uncharacterized LOC107986081
LOC107986082	-	uncharacterized LOC107986082
LOC107986083	-	uncharacterized LOC107986083
LOC107986084	-	Sjoegren syndrome nuclear autoantigen 1 homolog
LINC02019	-	long intergenic non-protein coding RNA 2019
LOC107986086	-	uncharacterized LOC107986086
LOC107986087	-	uncharacterized LOC107986087
LOC107986088	-	uncharacterized LOC107986088
LOC107986089	-	uncharacterized LOC107986089
LOC107986091	-	uncharacterized LOC107986091
LOC107986092	-	uncharacterized LOC107986092
LOC107986093	-	uncharacterized LOC107986093
LOC107986094	-	uncharacterized LOC107986094
LOC107986095	-	uncharacterized LOC107986095
MDFIC2	-	MyoD family inhibitor domain containing 2
LOC107986097	-	uncharacterized LOC107986097
LOC107986098	-	uncharacterized LOC107986098
LOC107986099	-	uncharacterized LOC107986099
LINC02018	-	long intergenic non-protein coding RNA 2018
LOC107986101	-	endogenous retrovirus group K member 21 Gag polyprotein-like
LOC107986103	-	uncharacterized LOC107986103
LOC107986104	-	uncharacterized LOC107986104
LOC107986105	-	uncharacterized LOC107986105
LOC107986106	-	uncharacterized LOC107986106
LOC107986107	-	uncharacterized LOC107986107
LOC107986108	-	uncharacterized LOC107986108
LOC107986109	-	uncharacterized LOC107986109
LOC107986110	-	uncharacterized LOC107986110
LOC107986112	-	uncharacterized LOC107986112
LOC107986113	-	endogenous retrovirus group K member 7 Gag polyprotein
LOC107986114	-	uncharacterized LOC107986114
LOC107986115	-	uncharacterized LOC107986115
LOC107986116	-	uncharacterized LOC107986116
LOC107986118	-	uncharacterized LOC107986118
LOC107986119	-	uncharacterized LOC107986119
LOC107986120	-	cyclin-dependent kinase 2-associated protein 1 pseudogene
LOC107986121	-	uncharacterized LOC107986121
LOC107986123	-	uncharacterized LOC107986123
LOC107986124	-	uncharacterized LOC107986124
LINC02034	-	long intergenic non-protein coding RNA 2034
LOC107986126	-	uncharacterized LOC107986126
LOC107986127	-	uncharacterized LOC107986127
LOC107986129	-	uncharacterized LOC107986129
LOC107986131	-	uncharacterized LOC107986131
LOC107986133	-	uncharacterized LOC107986133
LOC107986135	-	uncharacterized LOC107986135
IL20RB-AS1	-	IL20RB antisense RNA 1
LOC107986138	-	uncharacterized LOC107986138
LOC107986140	-	uncharacterized LOC107986140
LOC107986141	-	uncharacterized LOC107986141
LOC107986142	-	uncharacterized LOC107986142
LOC107986144	-	uncharacterized LOC107986144
LINC02083	-	long intergenic non-protein coding RNA 2083
LOC107986148	-	uncharacterized LOC107986148
LOC107986149	-	uncharacterized LOC107986149
LOC107986150	-	uncharacterized LOC107986150
LOC107986151	-	uncharacterized LOC107986151
LOC107986152	-	uncharacterized LOC107986152
LOC107986153	-	uncharacterized LOC107986153
LOC107986154	-	uncharacterized LOC107986154
LOC107986155	-	uncharacterized LOC107986155
LOC107986156	-	uncharacterized LOC107986156
LOC107986157	-	uncharacterized LOC107986157
LOC107986158	-	uncharacterized LOC107986158
LOC107986160	-	uncharacterized LOC107986160
LOC107986161	-	uncharacterized LOC107986161
LOC107986162	-	uncharacterized LOC107986162
LOC107986163	-	uncharacterized LOC107986163
LINC02020	-	long intergenic non-protein coding RNA 2020
LINC02051	-	long intergenic non-protein coding RNA 2051
LOC107986166	-	uncharacterized LOC107986166
LOC107986167	-	uncharacterized LOC107986167
LOC107986168	-	uncharacterized LOC107986168
LOC107986169	-	uncharacterized LOC107986169
LOC107986170	-	uncharacterized LOC107986170
LOC107986171	-	uncharacterized LOC107986171
LOC107986172	-	uncharacterized LOC107986172
LOC107986173	-	uncharacterized LOC107986173
LOC107986174	-	uncharacterized LOC107986174
LOC107986175	-	uncharacterized LOC107986175
LOC107986176	-	uncharacterized LOC107986176
LOC107986177	-	uncharacterized LOC107986177
LOC107986178	-	uncharacterized LOC107986178
LOC107986179	-	uncharacterized LOC107986179
LOC107986180	-	uncharacterized LOC107986180
LOC107986181	-	uncharacterized LOC107986181
LOC107986182	-	uncharacterized LOC107986182
LOC107986183	-	uncharacterized LOC107986183
LOC107986184	-	uncharacterized LOC107986184
LOC107986185	-	uncharacterized LOC107986185
LOC107986186	-	uncharacterized LOC107986186
LOC107986187	-	uncharacterized LOC107986187
LOC107986188	-	uncharacterized LOC107986188
LOC107986189	-	uncharacterized LOC107986189
LOC107986190	-	uncharacterized LOC107986190
LOC107986192	-	translation initiation factor IF-2
LOC107986193	-	uncharacterized LOC107986193
LOC107986194	-	uncharacterized LOC107986194
LOC107986195	-	uncharacterized LOC107986195
LOC107986196	-	uncharacterized LOC107986196
LOC107986197	-	uncharacterized LOC107986197
LOC107986198	-	uncharacterized LOC107986198
LOC107986199	-	uncharacterized LOC107986199
LOC107986200	-	uncharacterized LOC107986200
LOC107986201	-	uncharacterized LOC107986201
LOC107986202	-	60S ribosomal protein L38 pseudogene
LOC107986203	-	uncharacterized LOC107986203
LOC107986204	-	uncharacterized LOC107986204
LOC107986205	-	uncharacterized LOC107986205
LOC107986206	-	uncharacterized LOC107986206
LOC107986207	-	small EDRK-rich factor 2 pseudogene
LOC107986208	-	probable UDP-sugar transporter protein SLC35A4
LOC107986209	-	histone H3.3-like
LOC107986210	-	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 pseudogene
LOC107986211	-	translation initiation factor IF-2
LOC107986214	-	translation initiation factor IF-2-like
LOC107986215	-	uncharacterized LOC107986215
LOC107986217	-	DNA-directed RNA polymerase II subunit 1-like
LOC107986218	-	uncharacterized LOC107986218
LOC107986219	-	uncharacterized LOC107986219
LOC107986220	-	uncharacterized LOC107986220
LOC107986221	-	uncharacterized LOC107986221
LOC107986222	-	uncharacterized LOC107986222
LOC107986223	-	uncharacterized LOC107986223
LOC107986224	-	uncharacterized LOC107986224
LOC107986225	-	uncharacterized LOC107986225
LINC02358	-	long intergenic non-protein coding RNA 2358
LOC107986228	-	uncharacterized LOC107986228
LOC107986229	-	uncharacterized LOC107986229
LOC107986230	-	uncharacterized LOC107986230
